cycle,actual_acc,actual_valid
749,0,0
750,0,0
751,0,0
752,0,0
753,-6201,1
754,-9666,1
755,-8836,1
756,-8836,0
757,-6535,1
758,-6535,0
759,-2127,1
760,-2127,0
761,-2127,0
762,3209,1
763,3209,0
764,3209,0
765,3209,0
766,3209,0
767,3209,0
768,3209,0
769,3209,0
770,3209,0
771,3209,0
772,3209,0
773,9129,1
774,9129,0
775,9129,0
776,9129,0
777,9129,0
778,9129,0
779,13159,1
780,13159,0
781,13159,0
782,10059,1
783,21362,1
784,20137,1
785,20137,0
786,20137,0
787,20137,0
788,18967,1
789,18967,0
790,18769,1
791,18976,1
792,22576,1
793,22576,0
794,22576,0
795,22576,0
796,22576,0
797,22576,0
798,22576,0
799,22576,0
800,22576,0
801,22576,0
802,22576,0
803,22576,0
804,18189,1
805,18189,0
806,18189,0
807,18189,0
808,18512,1
809,20132,1
810,20132,0
811,20132,0
812,20582,1
813,0,0
814,0,0
815,0,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,-3090,1
822,5410,1
823,8290,1
824,8290,0
825,8290,0
826,8290,0
827,8602,1
828,8602,0
829,8602,0
830,8602,0
831,8602,0
832,8602,0
833,8602,0
834,8602,0
835,8602,0
836,8602,0
837,8602,0
838,8602,0
839,8602,0
840,8602,0
841,10122,1
842,10122,0
843,10122,0
844,10122,0
845,10122,0
846,6372,1
847,6372,0
848,6372,0
849,6372,0
850,6372,0
851,6372,0
852,6372,0
853,0,0
854,-4620,1
855,-4620,0
856,-4620,0
857,-12450,1
858,-12450,0
859,-12450,0
860,-12450,0
861,-17114,1
862,-17114,0
863,-17114,0
864,-17114,0
865,-17114,0
866,-17114,0
867,-17114,0
868,-17114,0
869,-17114,0
870,-17114,0
871,-17114,0
872,-17114,0
873,-17114,0
874,-17114,0
875,-17114,0
876,-17114,0
877,-17114,0
878,-17114,0
879,-20810,1
880,-20810,0
881,-20810,0
882,-22760,1
883,-22760,0
884,-23721,1
885,-23833,1
886,-36887,1
887,-36887,0
888,-36887,0
889,-36887,0
890,-36887,0
891,-36887,0
892,-36887,0
893,-36887,0
894,-36887,0
895,-38827,1
896,-38827,0
897,-38827,0
898,-38827,0
899,0,0
900,0,0
901,0,0
902,0,0
903,0,0
904,0,0
905,0,0
906,0,0
907,0,0
908,0,0
909,-15128,1
910,-15128,0
911,-11698,1
912,-20446,1
913,-20446,0
914,-20550,1
915,-20550,0
916,0,0
917,0,0
918,0,0
919,0,0
920,0,0
921,0,0
922,0,0
923,0,0
924,0,1
925,0,0
926,0,0
927,-7568,1
928,-7568,0
929,-7568,0
930,-5558,1
931,-5558,0
932,-5558,0
933,-5558,0
934,-5780,1
935,-5780,0
936,-5780,0
937,-6940,1
938,-5240,1
939,-5240,0
940,-5240,0
941,-5240,0
942,-5240,0
943,3560,1
944,3560,0
945,3560,0
946,3560,0
947,3560,0
948,3560,0
949,13593,1
950,13593,0
951,13593,0
952,13593,0
953,13593,0
954,13593,0
955,13593,0
956,13161,1
957,13161,0
958,13161,0
959,9941,1
960,0,0
961,0,0
962,0,0
